Number,Ave_depth,Std_depth,Ave_top,Std_top,Ave_min,Std_min,Collapse,Distortion,Mask,Roughness
1,96.69552612,0,0,0,0,0,2,0,1,1
2,68.23058319,10.47800807,11.66110992,0.587809812,10.61005529,0.593177624,0,1,0,1
3,84.55961736,5.306302793,11.61153539,0.411439065,11.61153539,0.411439065,0,1,0,1
4,77.77502314,3.080210232,10.76492182,0.394361027,10.76492182,0.394361027,0,0,0,0
5,33.63733673,3.592776234,12.18174108,0.522974557,12.18174108,0.522974557,0,2,0,0
6,130.0017382,5.107519323,0,0,0,0,2,0,1,2
7,142.9418564,11.09651437,0,0,0,0,2,2,1,1
8,62.65724818,12.81670072,11.94240189,0.612564668,11.28400548,0.597528786,0,2,0,0
9,88.79037221,4.587232688,11.28400548,0.597528786,9.468811035,0.360352241,0,0,0,1
10,124.8721848,3.733670205,8.482437134,0.422509164,6.569993337,0.34738945,0,0,0,0
11,90.29380417,5.623278143,9.37535731,0.278497507,7.050513693,0.525882722,0,0,0,0
12,31.30185191,3.922198764,12.4593277,0.250856068,12.4593277,0.250856068,0,2,0,1
13,31.750501,3.250749761,12.53100713,0.599873605,12.53100713,0.599873605,0,2,0,1
14,132.4657338,7.087680547,0,0,0,0,2,2,1,1
15,153.0941976,12.74342001,0,0,0,0,1,2,1,1
16,126.1616592,8.686372276,0,0,0,0,2,0,1,1
17,147.8373744,11.05921876,0,0,0,0,2,0,1,1
18,130.0858917,0,0,0,0,0,2,0,1,1
19,153.7820969,4.908761816,10.04371134,0.481220807,5.627351125,0.472039633,0,0,0,0
20,94.02422714,9.149415864,11.60347239,0.475520418,9.630936941,0.427009903,0,0,0,0
21,88.15202586,10.84933454,11.43211238,0.366013746,10.51858393,0.634261978,0,2,0,0
22,91.13081741,5.87115614,11.61847814,0.333538435,8.895339966,0.338777618,0,0,0,0
23,86.58823776,6.736170744,11.28258642,0.43498124,10.61928686,0.558447843,0,0,0,0
24,80.96670151,8.495394124,11.00353495,0.50628564,9.721735636,0.433710675,0,0,0,0
25,108.4286423,8.676557599,11.89414724,0.346886707,9.06674703,0.40000411,0,0,0,0
